[ 20595][I][app_httpd.cpp:291] stream_handler(): MJPG: 7524B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 20621][I][app_httpd.cpp:291] stream_handler(): MJPG: 8040B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20649][I][app_httpd.cpp:291] stream_handler(): MJPG: 8040B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20674][I][app_httpd.cpp:291] stream_handler(): MJPG: 8040B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20699][I][app_httpd.cpp:291] stream_handler(): MJPG: 8040B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20722][I][app_httpd.cpp:291] stream_handler(): MJPG: 8040B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20751][I][app_httpd.cpp:291] stream_handler(): MJPG: 8372B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20798][I][app_httpd.cpp:291] stream_handler(): MJPG: 7380B 46ms (21.74fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 20829][I][app_httpd.cpp:291] stream_handler(): MJPG: 6453B 30ms (33.33fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 20858][I][app_httpd.cpp:291] stream_handler(): MJPG: 7084B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 20887][I][app_httpd.cpp:291] stream_handler(): MJPG: 7101B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 20908][I][app_httpd.cpp:291] stream_handler(): MJPG: 7548B 21ms (47.62fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 20939][I][app_httpd.cpp:291] stream_handler(): MJPG: 8612B 30ms (33.33fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 20963][I][app_httpd.cpp:291] stream_handler(): MJPG: 7310B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 20991][I][app_httpd.cpp:291] stream_handler(): MJPG: 9536B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21015][I][app_httpd.cpp:291] stream_handler(): MJPG: 7356B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21046][I][app_httpd.cpp:291] stream_handler(): MJPG: 7679B 31ms (32.26fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21070][I][app_httpd.cpp:291] stream_handler(): MJPG: 7859B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21098][I][app_httpd.cpp:291] stream_handler(): MJPG: 8933B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21125][I][app_httpd.cpp:291] stream_handler(): MJPG: 7819B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21154][I][app_httpd.cpp:291] stream_handler(): MJPG: 7819B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21178][I][app_httpd.cpp:291] stream_handler(): MJPG: 7819B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21205][I][app_httpd.cpp:291] stream_handler(): MJPG: 7819B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 21229][I][app_httpd.cpp:291] stream_handler(): MJPG: 7901B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21260][I][app_httpd.cpp:291] stream_handler(): MJPG: 7901B 31ms (32.26fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21282][I][app_httpd.cpp:291] stream_handler(): MJPG: 7901B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21311][I][app_httpd.cpp:291] stream_handler(): MJPG: 8432B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21334][I][app_httpd.cpp:291] stream_handler(): MJPG: 8323B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 21364][I][app_httpd.cpp:291] stream_handler(): MJPG: 7202B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 21386][I][app_httpd.cpp:291] stream_handler(): MJPG: 8152B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 21414][I][app_httpd.cpp:291] stream_handler(): MJPG: 8261B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 21439][I][app_httpd.cpp:291] stream_handler(): MJPG: 7992B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 21466][I][app_httpd.cpp:291] stream_handler(): MJPG: 8135B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 58.33
[ 21489][I][app_httpd.cpp:291] stream_handler(): MJPG: 8135B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 21517][I][app_httpd.cpp:291] stream_handler(): MJPG: 8135B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 58.89
[ 21541][I][app_httpd.cpp:291] stream_handler(): MJPG: 8135B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 58.33
[ 21583][I][app_httpd.cpp:291] stream_handler(): MJPG: 8135B 41ms (24.39fps), AVG: 26ms (38.46fps), Temperature: 58.33
[ 21619][I][app_httpd.cpp:291] stream_handler(): MJPG: 8653B 36ms (27.78fps), AVG: 27ms (37.04fps), Temperature: 58.33
