[ 11000][I][app_httpd.cpp:291] stream_handler(): MJPG: 8528B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11031][I][app_httpd.cpp:291] stream_handler(): MJPG: 9387B 31ms (32.26fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11057][I][app_httpd.cpp:291] stream_handler(): MJPG: 8604B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 57.78
[ 11087][I][app_httpd.cpp:291] stream_handler(): MJPG: 8157B 30ms (33.33fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 11115][I][app_httpd.cpp:291] stream_handler(): MJPG: 9019B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 11138][I][app_httpd.cpp:291] stream_handler(): MJPG: 8478B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11177][I][app_httpd.cpp:291] stream_handler(): MJPG: 8141B 38ms (26.32fps), AVG: 27ms (37.04fps), Temperature: 57.78
[ 11202][I][app_httpd.cpp:291] stream_handler(): MJPG: 8141B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11231][I][app_httpd.cpp:291] stream_handler(): MJPG: 9267B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11253][I][app_httpd.cpp:291] stream_handler(): MJPG: 7400B 21ms (47.62fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11279][I][app_httpd.cpp:291] stream_handler(): MJPG: 8173B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11303][I][app_httpd.cpp:291] stream_handler(): MJPG: 8173B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11330][I][app_httpd.cpp:291] stream_handler(): MJPG: 8734B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11359][I][app_httpd.cpp:291] stream_handler(): MJPG: 7296B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11385][I][app_httpd.cpp:291] stream_handler(): MJPG: 8400B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11413][I][app_httpd.cpp:291] stream_handler(): MJPG: 8008B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 11439][I][app_httpd.cpp:291] stream_handler(): MJPG: 8684B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11464][I][app_httpd.cpp:291] stream_handler(): MJPG: 7383B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11488][I][app_httpd.cpp:291] stream_handler(): MJPG: 7440B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11511][I][app_httpd.cpp:291] stream_handler(): MJPG: 7959B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 11537][I][app_httpd.cpp:291] stream_handler(): MJPG: 7959B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11560][I][app_httpd.cpp:291] stream_handler(): MJPG: 7959B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 11607][I][app_httpd.cpp:291] stream_handler(): MJPG: 8098B 47ms (21.28fps), AVG: 27ms (37.04fps), Temperature: 57.22
[ 11631][I][app_httpd.cpp:291] stream_handler(): MJPG: 9525B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.22
