[102832][I][app_httpd.cpp:291] stream_handler(): MJPG: 7056B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102856][I][app_httpd.cpp:291] stream_handler(): MJPG: 7138B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102879][I][app_httpd.cpp:291] stream_handler(): MJPG: 7138B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102903][I][app_httpd.cpp:291] stream_handler(): MJPG: 7150B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.78
[102930][I][app_httpd.cpp:291] stream_handler(): MJPG: 7150B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102955][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102976][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[102996][I][app_httpd.cpp:291] stream_handler(): MJPG: 7131B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103018][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103043][I][app_httpd.cpp:291] stream_handler(): MJPG: 6952B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103070][I][app_httpd.cpp:291] stream_handler(): MJPG: 6952B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103090][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103110][I][app_httpd.cpp:291] stream_handler(): MJPG: 6712B 19ms (52.63fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103133][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103154][I][app_httpd.cpp:291] stream_handler(): MJPG: 7126B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103176][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.78
[103195][I][app_httpd.cpp:291] stream_handler(): MJPG: 6926B 19ms (52.63fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103216][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 20ms (50.00fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103242][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 25ms (40.00fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103271][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 29ms (34.48fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103301][I][app_httpd.cpp:291] stream_handler(): MJPG: 7023B 29ms (34.48fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103334][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 33ms (30.30fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103355][I][app_httpd.cpp:291] stream_handler(): MJPG: 6559B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103377][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 61.67
[103404][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 27ms (37.04fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103426][I][app_httpd.cpp:291] stream_handler(): MJPG: 6632B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103450][I][app_httpd.cpp:291] stream_handler(): MJPG: 6980B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.78
[103472][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103493][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103516][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103538][I][app_httpd.cpp:291] stream_handler(): MJPG: 6938B 21ms (47.62fps), AVG: 22ms (45.45fps), Temperature: 62.22
[103566][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 28ms (35.71fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103590][I][app_httpd.cpp:291] stream_handler(): MJPG: 8149B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103616][I][app_httpd.cpp:291] stream_handler(): MJPG: 8321B 26ms (38.46fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103640][I][app_httpd.cpp:291] stream_handler(): MJPG: 7023B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103672][I][app_httpd.cpp:291] stream_handler(): MJPG: 7023B 31ms (32.26fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103692][I][app_httpd.cpp:291] stream_handler(): MJPG: 7023B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103717][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103739][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.22
[103760][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103788][I][app_httpd.cpp:291] stream_handler(): MJPG: 6764B 27ms (37.04fps), AVG: 23ms (43.48fps), Temperature: 62.22
