[ 15585][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15611][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 57.78
[ 15641][I][app_httpd.cpp:291] stream_handler(): MJPG: 8941B 30ms (33.33fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15667][I][app_httpd.cpp:291] stream_handler(): MJPG: 6670B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 57.22
[ 15688][I][app_httpd.cpp:291] stream_handler(): MJPG: 7066B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15713][I][app_httpd.cpp:291] stream_handler(): MJPG: 7066B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15739][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15766][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15790][I][app_httpd.cpp:291] stream_handler(): MJPG: 6893B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15816][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15843][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 26ms (38.46fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15869][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15893][I][app_httpd.cpp:291] stream_handler(): MJPG: 7782B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 56.67
[ 15918][I][app_httpd.cpp:291] stream_handler(): MJPG: 7982B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15949][I][app_httpd.cpp:291] stream_handler(): MJPG: 7982B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15974][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 15995][I][app_httpd.cpp:291] stream_handler(): MJPG: 6911B 21ms (47.62fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16024][I][app_httpd.cpp:291] stream_handler(): MJPG: 6911B 29ms (34.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16052][I][app_httpd.cpp:291] stream_handler(): MJPG: 7046B 27ms (37.04fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16076][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16099][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16128][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 29ms (34.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16156][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 28ms (35.71fps), AVG: 25ms (40.00fps), Temperature: 56.67
[ 16196][I][app_httpd.cpp:291] stream_handler(): MJPG: 6817B 40ms (25.00fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16219][I][app_httpd.cpp:291] stream_handler(): MJPG: 8136B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16253][I][app_httpd.cpp:291] stream_handler(): MJPG: 8721B 33ms (30.30fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16278][I][app_httpd.cpp:291] stream_handler(): MJPG: 7682B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16304][I][app_httpd.cpp:291] stream_handler(): MJPG: 7682B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16331][I][app_httpd.cpp:291] stream_handler(): MJPG: 7886B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 16355][I][app_httpd.cpp:291] stream_handler(): MJPG: 8488B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 56.67
[ 16380][I][app_httpd.cpp:291] stream_handler(): MJPG: 7324B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 56.67
