1738380150725,[185560][I][app_httpd.cpp:291] stream_handler(): MJPG: 10263B 75ms (13.33fps), AVG: 50ms (20.00fps), Temperature: 66.11
1738380150776,[185611][I][app_httpd.cpp:291] stream_handler(): MJPG: 10101B 50ms (20.00fps), AVG: 50ms (20.00fps), Temperature: 66.11
1738380150820,[185655][I][app_httpd.cpp:291] stream_handler(): MJPG: 10122B 44ms (22.73fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380150852,[185687][I][app_httpd.cpp:291] stream_handler(): MJPG: 10398B 31ms (32.26fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380150893,[185728][I][app_httpd.cpp:291] stream_handler(): MJPG: 10795B 40ms (25.00fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380150930,[185765][I][app_httpd.cpp:291] stream_handler(): MJPG: 10062B 36ms (27.78fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380151014,[185849][I][app_httpd.cpp:291] stream_handler(): MJPG: 10754B 83ms (12.05fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380151045,[185880][I][app_httpd.cpp:291] stream_handler(): MJPG: 10266B 31ms (32.26fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380151100,[185934][I][app_httpd.cpp:291] stream_handler(): MJPG: 10306B 54ms (18.52fps), AVG: 50ms (20.00fps), Temperature: 66.11
1738380151125,[185960][I][app_httpd.cpp:291] stream_handler(): MJPG: 10313B 25ms (40.00fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380151165,[186000][I][app_httpd.cpp:291] stream_handler(): MJPG: 10475B 39ms (25.64fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380151229,[186064][I][app_httpd.cpp:291] stream_handler(): MJPG: 10140B 63ms (15.87fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380151262,[186097][I][app_httpd.cpp:291] stream_handler(): MJPG: 10095B 33ms (30.30fps), AVG: 47ms (21.28fps), Temperature: 66.67
1738380151330,[186165][I][app_httpd.cpp:291] stream_handler(): MJPG: 10130B 68ms (14.71fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380151365,[186200][I][app_httpd.cpp:291] stream_handler(): MJPG: 10105B 34ms (29.41fps), AVG: 47ms (21.28fps), Temperature: 66.11
1738380151405,[186240][I][app_httpd.cpp:291] stream_handler(): MJPG: 10265B 39ms (25.64fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380151444,[186279][I][app_httpd.cpp:291] stream_handler(): MJPG: 10296B 39ms (25.64fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380151488,[186323][I][app_httpd.cpp:291] stream_handler(): MJPG: 10162B 44ms (22.73fps), AVG: 46ms (21.74fps), Temperature: 65.56
1738380151580,[186415][I][app_httpd.cpp:291] stream_handler(): MJPG: 10149B 92ms (10.87fps), AVG: 47ms (21.28fps), Temperature: 65.56
1738380151622,[186457][I][app_httpd.cpp:291] stream_handler(): MJPG: 10240B 41ms (24.39fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380151676,[186511][I][app_httpd.cpp:291] stream_handler(): MJPG: 10373B 53ms (18.87fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380151711,[186546][I][app_httpd.cpp:291] stream_handler(): MJPG: 10141B 35ms (28.57fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380151785,[186620][I][app_httpd.cpp:291] stream_handler(): MJPG: 10029B 73ms (13.70fps), AVG: 47ms (21.28fps), Temperature: 66.11
1738380151828,[186663][I][app_httpd.cpp:291] stream_handler(): MJPG: 9870B 43ms (23.26fps), AVG: 48ms (20.83fps), Temperature: 65.56
1738380151859,[186694][I][app_httpd.cpp:291] stream_handler(): MJPG: 10186B 31ms (32.26fps), AVG: 47ms (21.28fps), Temperature: 65.56
1738380151931,[186766][I][app_httpd.cpp:291] stream_handler(): MJPG: 9888B 71ms (14.08fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380151988,[186823][I][app_httpd.cpp:291] stream_handler(): MJPG: 10047B 56ms (17.86fps), AVG: 48ms (20.83fps), Temperature: 65.56
1738380152021,[186855][I][app_httpd.cpp:291] stream_handler(): MJPG: 10058B 32ms (31.25fps), AVG: 48ms (20.83fps), Temperature: 65.56
1738380152088,[186924][I][app_httpd.cpp:291] stream_handler(): MJPG: 9847B 68ms (14.71fps), AVG: 48ms (20.83fps), Temperature: 65.56
1738380152134,[186969][I][app_httpd.cpp:291] stream_handler(): MJPG: 9957B 45ms (22.22fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380152167,[187003][I][app_httpd.cpp:291] stream_handler(): MJPG: 9945B 33ms (30.30fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380152203,[187038][I][app_httpd.cpp:291] stream_handler(): MJPG: 10208B 35ms (28.57fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380152252,[187087][I][app_httpd.cpp:291] stream_handler(): MJPG: 10366B 48ms (20.83fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380152305,[187139][I][app_httpd.cpp:291] stream_handler(): MJPG: 10158B 52ms (19.23fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380152363,[187198][I][app_httpd.cpp:291] stream_handler(): MJPG: 10689B 58ms (17.24fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380152393,[187227][I][app_httpd.cpp:291] stream_handler(): MJPG: 10159B 29ms (34.48fps), AVG: 48ms (20.83fps), Temperature: 66.11
1738380152449,[187284][I][app_httpd.cpp:291] stream_handler(): MJPG: 10099B 57ms (17.54fps), AVG: 49ms (20.41fps), Temperature: 65.56
1738380152489,[187323][I][app_httpd.cpp:291] stream_handler(): MJPG: 9979B 38ms (26.32fps), AVG: 49ms (20.41fps), Temperature: 66.11
1738380152525,[187360][I][app_httpd.cpp:291] stream_handler(): MJPG: 10203B 37ms (27.03fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380152564,[187398][I][app_httpd.cpp:291] stream_handler(): MJPG: 10283B 37ms (27.03fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380152623,[187458][I][app_httpd.cpp:291] stream_handler(): MJPG: 10024B 60ms (16.67fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380152662,[187497][I][app_httpd.cpp:291] stream_handler(): MJPG: 10105B 38ms (26.32fps), AVG: 47ms (21.28fps), Temperature: 66.11
1738380152701,[187535][I][app_httpd.cpp:291] stream_handler(): MJPG: 10103B 38ms (26.32fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380152734,[187569][I][app_httpd.cpp:291] stream_handler(): MJPG: 10320B 33ms (30.30fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380152784,[187619][I][app_httpd.cpp:291] stream_handler(): MJPG: 10352B 49ms (20.41fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380152813,[187647][I][app_httpd.cpp:291] stream_handler(): MJPG: 9987B 28ms (35.71fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380152851,[187686][I][app_httpd.cpp:291] stream_handler(): MJPG: 10048B 38ms (26.32fps), AVG: 42ms (23.81fps), Temperature: 65.56
1738380152885,[187720][I][app_httpd.cpp:291] stream_handler(): MJPG: 10175B 34ms (29.41fps), AVG: 42ms (23.81fps), Temperature: 66.67
1738380152940,[187775][I][app_httpd.cpp:291] stream_handler(): MJPG: 10096B 54ms (18.52fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380152971,[187806][I][app_httpd.cpp:291] stream_handler(): MJPG: 10071B 30ms (33.33fps), AVG: 41ms (24.39fps), Temperature: 66.11
