1738983322781,[ 37297][I][app_httpd.cpp:291] stream_handler(): MJPG: 1987B 32ms (31.25fps), AVG: 20ms (50.00fps), Temperature: 59.44
1738983322793,[ 37310][I][app_httpd.cpp:291] stream_handler(): MJPG: 2010B 12ms (83.33fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322807,[ 37325][I][app_httpd.cpp:291] stream_handler(): MJPG: 2010B 14ms (71.43fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983322827,[ 37345][I][app_httpd.cpp:291] stream_handler(): MJPG: 2010B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322847,[ 37365][I][app_httpd.cpp:291] stream_handler(): MJPG: 2010B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322868,[ 37385][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322887,[ 37405][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322907,[ 37425][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322927,[ 37445][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322946,[ 37465][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322966,[ 37485][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983322987,[ 37505][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323007,[ 37525][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983323027,[ 37545][I][app_httpd.cpp:291] stream_handler(): MJPG: 2029B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323047,[ 37565][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323067,[ 37585][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323087,[ 37605][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323107,[ 37625][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323127,[ 37645][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323147,[ 37665][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323167,[ 37685][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 18ms (55.56fps), Temperature: 59.44
1738983323186,[ 37704][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323207,[ 37725][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323227,[ 37745][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323247,[ 37764][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323267,[ 37785][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323286,[ 37804][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323307,[ 37825][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323327,[ 37845][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323347,[ 37865][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323367,[ 37885][I][app_httpd.cpp:291] stream_handler(): MJPG: 2015B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323387,[ 37905][I][app_httpd.cpp:291] stream_handler(): MJPG: 2116B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323407,[ 37925][I][app_httpd.cpp:291] stream_handler(): MJPG: 1919B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323427,[ 37945][I][app_httpd.cpp:291] stream_handler(): MJPG: 1983B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323446,[ 37964][I][app_httpd.cpp:291] stream_handler(): MJPG: 1983B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323467,[ 37985][I][app_httpd.cpp:291] stream_handler(): MJPG: 1983B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323486,[ 38004][I][app_httpd.cpp:291] stream_handler(): MJPG: 1983B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323507,[ 38025][I][app_httpd.cpp:291] stream_handler(): MJPG: 2116B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323527,[ 38045][I][app_httpd.cpp:291] stream_handler(): MJPG: 1966B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323546,[ 38064][I][app_httpd.cpp:291] stream_handler(): MJPG: 1966B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323567,[ 38085][I][app_httpd.cpp:291] stream_handler(): MJPG: 1966B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323586,[ 38104][I][app_httpd.cpp:291] stream_handler(): MJPG: 1966B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323607,[ 38125][I][app_httpd.cpp:291] stream_handler(): MJPG: 1966B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323627,[ 38144][I][app_httpd.cpp:291] stream_handler(): MJPG: 1982B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983323647,[ 38165][I][app_httpd.cpp:291] stream_handler(): MJPG: 1982B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 58.89
1738983323667,[ 38185][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323686,[ 38204][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323707,[ 38225][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323726,[ 38244][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323747,[ 38265][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323766,[ 38284][I][app_httpd.cpp:291] stream_handler(): MJPG: 2001B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323786,[ 38305][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323806,[ 38325][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323826,[ 38344][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323847,[ 38365][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323867,[ 38385][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323887,[ 38404][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323907,[ 38425][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323926,[ 38444][I][app_httpd.cpp:291] stream_handler(): MJPG: 2008B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323947,[ 38465][I][app_httpd.cpp:291] stream_handler(): MJPG: 2000B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983323967,[ 38485][I][app_httpd.cpp:291] stream_handler(): MJPG: 2000B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983323987,[ 38504][I][app_httpd.cpp:291] stream_handler(): MJPG: 2000B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983324007,[ 38525][I][app_httpd.cpp:291] stream_handler(): MJPG: 2000B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983324026,[ 38544][I][app_httpd.cpp:291] stream_handler(): MJPG: 2000B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983324047,[ 38565][I][app_httpd.cpp:291] stream_handler(): MJPG: 2116B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 60.00
1738983324066,[ 38584][I][app_httpd.cpp:291] stream_handler(): MJPG: 1918B 19ms (52.63fps), AVG: 19ms (52.63fps), Temperature: 59.44
1738983324087,[ 38605][I][app_httpd.cpp:291] stream_handler(): MJPG: 1953B 20ms (50.00fps), AVG: 19ms (52.63fps), Temperature: 59.44
